id,keyname,type,size,number,unit_price,price,keydate,company,production
1,½ðÊô°ü¸²µæ_G7EY11D::G7EY21.003,°ü¸²µæÆ¬,648*560*3,4.0,312.8,1251.2,2015-1-7,º¼Ñõ,14HR-109
2,½ðÊô°ü¸²µæ_G7EY11C::G7EY21.003,°ü¸²µæÆ¬,648*560*3,2.0,312.8,625.6,2015-1-7,º¼Ñõ,14HR-198
3,Ê¯Ä«¸´ºÏµæ_(316L)::G6K04.001,Ê¯Ä«µæÆ¬,1433*964*3(°´Í¼),2.0,420.0,840.0,2015-1-7,º¼Ñõ,15HR-2
4,¹ú²úÎÞÊ¯ÃÞ_G2EK09-H::G2EK09-H.003,ÎÞÊ¯ÃÞµæÆ¬,940*857*3(·½ÐÎ)--,1.0,767.6,767.6,2015-1-12,º¼Ñõ,14HR-238
5,S1E27_[HG/T20631]::D500-300_1222,ÆäËû,653*577.9*525*5*500,2.0,324.0,648.0,2015-1-15,º¼Ñõ,14A/08-003
6,G7K45_[JB/T4705]1232::D23-650-6.4,¶¨ÖÆµæÆ¬,770*749*699*663,2.0,438.0,876.0,2015-1-15,º¼Ñõ,15AC08001
7,1260Ïð½ºµæÆ¬::L138.014,Ïð½ºµæÆ¬,538*500*465*3_16-¦µ12,4.0,135.9,543.6,2015-1-19,º¼Ñõ,15AC08002
8,°ü¸²µæ::G7K26.013,°ü¸²µæÆ¬,905*897*852,2.0,309.1,618.2,2015-1-21,º¼Ñõ,14AC08054
9,°ü¸²µæ::G7K26.012,°ü¸²µæÆ¬,592*584*502,2.0,120.3,240.6,2015-1-21,º¼Ñõ,14AC08054
10,°ü¸²µæ_G7K26_[HG20607]::PMF25,°ü¸²µæÆ¬,71*60*34,1.0,5.0,5.0,2015-1-21,º¼Ñõ,14AC08054
11,°ü¸²µæ_G7K15::G731.004,°ü¸²µæÆ¬,697*684*654,2.0,153.3,306.6,2015-1-21,º¼Ñõ,14AC08055
12,²øÈÆµæ_G7K15_1232::G731.008,²øÈÆµæÆ¬,72*63*45*35,1.0,15.0,15.0,2015-1-21,º¼Ñõ,14AC08055
13,°ü¸²µæ_G7K16::G731.004,°ü¸²µæÆ¬,697*684*654,2.0,153.3,306.6,2015-1-21,º¼Ñõ,14AC08056
14,²øÈÆµæ_G7K16_1232::G731.008,²øÈÆµæÆ¬,72*63*45*35,1.0,15.0,15.0,2015-1-21,º¼Ñõ,14AC08056
15,¹ú²úÎÞÊ¯ÃÞ_G7E140_[HG/T20627]::RF25-150,ÎÞÊ¯ÃÞµæÆ¬,65.5*34*3,4.0,2.5,10.0,2015-1-21,º¼Ñõ,14HR-178
16,¹ú²úÎÞÊ¯ÃÞ_G7E140_[HG/T20627]::RF400-150,ÎÞÊ¯ÃÞµæÆ¬,513*407*3,8.0,120.0,960.0,2015-1-21,º¼Ñõ,14HR-178
17,¹ú²úÎÞÊ¯ÃÞ_G7E140_[HG/T20627]::RF80-150,ÎÞÊ¯ÃÞµæÆ¬,136.5*89*3,4.0,7.6,30.4,2015-1-21,º¼Ñõ,14HR-178
18,¹ú²úÎÞÊ¯ÃÞ_G7E140_[NB/T47024]::450-1.0,ÎÞÊ¯ÃÞµæÆ¬,489*453*3,6.0,93.6,561.6,2015-1-21,º¼Ñõ,14HR-178
19,²øÈÆµæ_1222_G7E115::D22-800-6.4,²øÈÆµæÆ¬,944*918*868*832,1.0,437.0,437.0,2015-1-28,º¼Ñõ,14HRX-104
20,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E::G1E10C.003,ÎÞÊ¯ÃÞµæÆ¬,1389*1089*3(·½ÐÎ),2.0,1286.0,2572.0,2015-1-28,º¼Ñõ,14HR-283
21,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E::G1E10C.004,ÎÞÊ¯ÃÞµæÆ¬,20*14*2,1.0,1.5,1.5,2015-1-28,º¼Ñõ,14HR-283
22,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E::G1E11C.001/1,ÎÞÊ¯ÃÞµæÆ¬,1603*1203*3(·½ÐÎ),1.0,1803.0,1803.0,2015-1-28,º¼Ñõ,14HR-283
23,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E::G1E11C.001/2,ÎÞÊ¯ÃÞµæÆ¬,1389*1089*3(·½ÐÎ)--,1.0,1413.0,1413.0,2015-1-28,º¼Ñõ,14HR-283
24,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E::G1E47.005,ÎÞÊ¯ÃÞµæÆ¬,27*22*2,6.0,2.5,15.0,2015-1-28,º¼Ñõ,14HR-283
25,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E::G1E47.006,ÎÞÊ¯ÃÞµæÆ¬,23*18*2,4.0,2.4,9.6,2015-1-28,º¼Ñõ,14HR-283
26,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E_[HG/T20606]::RF400-10,ÎÞÊ¯ÃÞµæÆ¬,489*426*3,2.0,128.4,256.8,2015-1-28,º¼Ñõ,14HR-283
27,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E11E_[HG/T20606]::RF50-16,ÎÞÊ¯ÃÞµæÆ¬,107*61*3,2.0,11.8,23.6,2015-1-28,º¼Ñõ,14HR-283
28,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E10E::G1E10C.002/1,ÎÞÊ¯ÃÞµæÆ¬,1603*1203*3(·½ÐÎ),2.0,1803.0,3606.0,2015-1-28,º¼Ñõ,14HR-286
29,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E10E::G1E10C.002/2,ÎÞÊ¯ÃÞµæÆ¬,1389*1089*3(·½ÐÎ)--,2.0,1413.0,2826.0,2015-1-28,º¼Ñõ,14HR-286
30,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E10E::G1E10C.003,ÎÞÊ¯ÃÞµæÆ¬,1389*1089*3(·½ÐÎ),2.0,1286.0,2572.0,2015-1-28,º¼Ñõ,14HR-286
31,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E10E::G1E10C.004,ÎÞÊ¯ÃÞµæÆ¬,20*14*2,1.0,1.5,1.5,2015-1-28,º¼Ñõ,14HR-286
32,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E10E::G1E47.005,ÎÞÊ¯ÃÞµæÆ¬,27*22*2,6.0,2.5,15.0,2015-1-28,º¼Ñõ,14HR-286
33,ÌØÁ¦ÎÞÊ¯ÃÞ_G1E10E::G1E47.006,ÎÞÊ¯ÃÞµæÆ¬,23*18*2,4.0,2.4,9.6,2015-1-28,º¼Ñõ,14HR-286
