id,keyname,type,std_code,size
1,金属包覆垫_G7EY11D::G7EY21.003,包覆垫片,G7EY21.003,648*560*3
2,金属包覆垫_G7EY11C::G7EY21.003,包覆垫片,G7EY21.003,648*560*3
3,石墨复合垫_(316L)::G6K04.001,石墨垫片,G6K04.001,1433*964*3(按图)
4,国产无石棉_G2EK09-H::G2EK09-H.003,无石棉垫片,G2EK09-H.003,940*857*3(方形)--
5,S1E27_[HG/T20631]::D500-300_1222,其他,D500-300_1222,653*577.9*525*5*500
6,G7K45_[JB/T4705]1232::D23-650-6.4,定制垫片,D23-650-6.4,770*749*699*663
7,1260橡胶垫片::L138.014,橡胶垫片,L138.014,538*500*465*3_16-Φ12
8,包覆垫::G7K26.013,包覆垫片,G7K26.013,905*897*852
9,包覆垫::G7K26.012,包覆垫片,G7K26.012,592*584*502
10,包覆垫_G7K26_[HG20607]::PMF25,包覆垫片,PMF25,71*60*34
11,包覆垫_G7K15::G731.004,包覆垫片,G731.004,697*684*654
12,缠绕垫_G7K15_1232::G731.008,缠绕垫片,G731.008,72*63*45*35
13,包覆垫_G7K16::G731.004,包覆垫片,G731.004,697*684*654
14,缠绕垫_G7K16_1232::G731.008,缠绕垫片,G731.008,72*63*45*35
15,国产无石棉_G7E140_[HG/T20627]::RF25-150,无石棉垫片,RF25-150,65.5*34*3
16,国产无石棉_G7E140_[HG/T20627]::RF400-150,无石棉垫片,RF400-150,513*407*3
17,国产无石棉_G7E140_[HG/T20627]::RF80-150,无石棉垫片,RF80-150,136.5*89*3
18,国产无石棉_G7E140_[NB/T47024]::450-1.0,无石棉垫片,450-1.0,489*453*3
19,缠绕垫_1222_G7E115::D22-800-6.4,缠绕垫片,D22-800-6.4,944*918*868*832
20,特力无石棉_G1E11E::G1E10C.003,无石棉垫片,G1E10C.003,1389*1089*3(方形)
21,特力无石棉_G1E11E::G1E10C.004,无石棉垫片,G1E10C.004,20*14*2
22,特力无石棉_G1E11E::G1E11C.001/1,无石棉垫片,G1E11C.001/1,1603*1203*3(方形)
23,特力无石棉_G1E11E::G1E11C.001/2,无石棉垫片,G1E11C.001/2,1389*1089*3(方形)--
24,特力无石棉_G1E11E::G1E47.005,无石棉垫片,G1E47.005,27*22*2
25,特力无石棉_G1E11E::G1E47.006,无石棉垫片,G1E47.006,23*18*2
26,特力无石棉_G1E11E_[HG/T20606]::RF400-10,无石棉垫片,RF400-10,489*426*3
27,特力无石棉_G1E11E_[HG/T20606]::RF50-16,无石棉垫片,RF50-16,107*61*3
